127.0.0.1 - - [27/May/2021:09:35:56 +0900] "GET / HTTP/1.1" 200 2566
127.0.0.1 - - [27/May/2021:09:35:56 +0900] "GET / HTTP/1.1" 200 2566
127.0.0.1 - - [27/May/2021:09:36:02 +0900] "POST /user/loginPost HTTP/1.1" 302 -
127.0.0.1 - - [27/May/2021:09:36:03 +0900] "GET /user/choice HTTP/1.1" 200 3397
127.0.0.1 - - [27/May/2021:09:36:03 +0900] "GET /user/choice HTTP/1.1" 200 3397
127.0.0.1 - - [27/May/2021:09:36:09 +0900] "GET /user/getCheckingInfo?selectSubject=&s_id=111&SubjectName=&Position=%ED%95%99%EC%83%9D HTTP/1.1" 200 6029
127.0.0.1 - - [27/May/2021:09:36:15 +0900] "GET /user/getCheckingInfo?selectSubject=&s_id=111&SubjectName=&Position=%ED%95%99%EC%83%9D HTTP/1.1" 200 6029
0:0:0:0:0:0:0:1 - - [27/May/2021:09:36:45 +0900] "GET /user/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:36:45 +0900] "GET /user/login HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:36:45 +0900] "GET /user/login HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:36:48 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:36:48 +0900] "GET /user/choice HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [27/May/2021:09:36:48 +0900] "GET /user/choice HTTP/1.1" 200 9345
127.0.0.1 - - [27/May/2021:09:37:21 +0900] "GET / HTTP/1.1" 200 2566
127.0.0.1 - - [27/May/2021:09:37:21 +0900] "GET / HTTP/1.1" 200 2610
127.0.0.1 - - [27/May/2021:09:37:21 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:38:33 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:38:33 +0900] "GET /user/choice HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [27/May/2021:09:38:33 +0900] "GET /user/choice HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [27/May/2021:09:38:44 +0900] "GET /user/getCheckingInfo?selectSubject=&s_id=123&SubjectName=&Position=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [27/May/2021:09:38:46 +0900] "GET /user/getCheckingInfo?selectSubject=&s_id=123&SubjectName=&Position=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [27/May/2021:09:38:52 +0900] "GET /user/choice HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [27/May/2021:09:38:52 +0900] "GET /user/choice HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [27/May/2021:09:43:48 +0900] "GET / HTTP/1.1" 200 2566
127.0.0.1 - - [27/May/2021:09:43:48 +0900] "GET / HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [27/May/2021:09:43:48 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:44:31 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:44:32 +0900] "GET /user/choice HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [27/May/2021:09:44:32 +0900] "GET /user/choice HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [27/May/2021:09:44:35 +0900] "GET /user/getCheckingInfo?selectSubject=&s_id=123&SubjectName=&Position=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [27/May/2021:09:44:35 +0900] "GET /user/getCheckingInfo?selectSubject=&s_id=123&SubjectName=&Position=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 2654
0:0:0:0:0:0:0:1 - - [27/May/2021:09:44:39 +0900] "GET /user/choice HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [27/May/2021:09:44:40 +0900] "GET /user/choice HTTP/1.1" 200 9345
127.0.0.1 - - [27/May/2021:09:45:33 +0900] "GET / HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [27/May/2021:09:45:33 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:45:33 +0900] "GET / HTTP/1.1" 200 2566
